time,open,high,low,close,Volume,Volume MA
1968-01-02T14:30:00Z,36.5,36.5,36.5,36.5,11200,NaN
1968-01-03T14:30:00Z,36.625,36.625,36.625,36.625,8200,NaN
1968-01-04T14:30:00Z,37.75,37.75,37.75,37.75,8400,NaN
1968-01-05T14:30:00Z,39.375,39.375,39.375,39.375,24600,NaN
1968-01-08T14:30:00Z,39.375,39.375,39.375,39.375,17000,NaN
1968-01-09T14:30:00Z,38.5,38.5,38.5,38.5,15700,NaN
1968-01-10T14:30:00Z,38.75,38.75,38.75,38.75,11300,NaN
1968-01-11T14:30:00Z,38.25,38.25,38.25,38.25,10900,NaN
1968-01-12T14:30:00Z,38.375,38.375,38.375,38.375,9200,NaN
1968-01-15T14:30:00Z,38.625,38.625,38.625,38.625,7900,NaN
1968-01-16T14:30:00Z,38.25,38.25,38.25,38.25,31200,NaN
1968-01-17T14:30:00Z,37.5,37.5,37.5,37.5,10900,NaN
1968-01-18T14:30:00Z,37.5,37.5,37.5,37.5,6600,NaN
1968-01-19T14:30:00Z,37.5,37.5,37.5,37.5,13100,NaN
1968-01-22T14:30:00Z,37.5,37.5,37.5,37.5,5800,NaN
1968-01-23T14:30:00Z,37.75,37.75,37.75,37.75,12600,NaN
1968-01-24T14:30:00Z,37.875,37.875,37.875,37.875,13300,NaN
1968-01-25T14:30:00Z,37.375,37.375,37.375,37.375,12000,NaN
1968-01-26T14:30:00Z,37.375,37.375,37.375,37.375,11400,NaN
1968-01-29T14:30:00Z,37.75,37.75,37.75,37.75,9900,12560
1968-01-30T14:30:00Z,37.75,37.75,37.75,37.75,7400,12370
1968-01-31T14:30:00Z,37.875,37.875,37.875,37.875,22200,13070
1968-02-01T14:30:00Z,38,38,38,38,7000,13000
1968-02-02T14:30:00Z,37.75,37.75,37.75,37.75,12200,12380
1968-02-05T14:30:00Z,37.875,37.875,37.875,37.875,4000,11730
1968-02-06T14:30:00Z,37.875,37.875,37.875,37.875,6200,11255
1968-02-07T14:30:00Z,37.375,37.375,37.375,37.375,7500,11065
1968-02-08T14:30:00Z,37,37,37,37,32100,12125
1968-02-09T14:30:00Z,36.5,36.5,36.5,36.5,7000,12015
1968-02-13T14:30:00Z,35.625,35.625,35.625,35.625,11500,12195
1968-02-14T14:30:00Z,35,35,35,35,11600,11215
1968-02-15T14:30:00Z,35.875,35.875,35.875,35.875,8200,11080
1968-02-16T14:30:00Z,36.5,36.5,36.5,36.5,8000,11150
1968-02-19T14:30:00Z,37.125,37.125,37.125,37.125,8900,10940
1968-02-20T14:30:00Z,37.125,37.125,37.125,37.125,6700,10985
1968-02-21T14:30:00Z,36.75,36.75,36.75,36.75,12000,10955
1968-02-23T14:30:00Z,36.125,36.125,36.125,36.125,5000,10540
1968-02-26T14:30:00Z,35.75,35.75,35.75,35.75,9000,10390
1968-02-27T14:30:00Z,35.5,35.5,35.5,35.5,6500,10145
1968-02-28T14:30:00Z,35.625,35.625,35.625,35.625,4900,9895
1968-02-29T14:30:00Z,35.125,35.125,35.125,35.125,6100,9830
1968-03-01T14:30:00Z,35.625,35.625,35.625,35.625,3300,8885
1968-03-04T14:30:00Z,36,36,36,36,5200,8795
1968-03-05T14:30:00Z,35.125,35.125,35.125,35.125,4600,8415
1968-03-06T14:30:00Z,35.375,35.375,35.375,35.375,11500,8790
1968-03-07T14:30:00Z,34.875,34.875,34.875,34.875,9800,8970
1968-03-08T14:30:00Z,34.875,34.875,34.875,34.875,9300,9060
1968-03-11T14:30:00Z,35.25,35.25,35.25,35.25,12500,8080
1968-03-12T14:30:00Z,34.5,34.5,34.5,34.5,9900,8225
1968-03-13T14:30:00Z,34.375,34.375,34.375,34.375,8500,8075
1968-03-14T14:30:00Z,33.375,33.375,33.375,33.375,11400,8065
1968-03-15T14:30:00Z,33.25,33.25,33.25,33.25,8500,8080
1968-03-18T14:30:00Z,33.75,33.75,33.75,33.75,8700,8115
1968-03-19T14:30:00Z,34.25,34.25,34.25,34.25,11600,8250
1968-03-20T14:30:00Z,33.75,33.75,33.75,33.75,7500,8290
1968-03-21T14:30:00Z,34,34,34,34,5700,7975
1968-03-22T14:30:00Z,33.5,33.5,33.5,33.5,7600,8105
1968-03-25T14:30:00Z,32.625,32.625,32.625,32.625,6400,7975
1968-03-26T14:30:00Z,33.375,33.375,33.375,33.375,8300,8065
1968-03-27T14:30:00Z,33.5,33.5,33.5,33.5,11400,8390
1968-03-28T14:30:00Z,33,33,33,33,5500,8360
1968-03-29T14:30:00Z,33.5,33.5,33.5,33.5,11300,8760
1968-04-01T14:30:00Z,34.625,34.625,34.625,34.625,11200,9060
1968-04-02T14:30:00Z,34.125,34.125,34.125,34.125,9500,9305
1968-04-03T14:30:00Z,34.125,34.125,34.125,34.125,8700,9165
1968-04-04T14:30:00Z,34.375,34.375,34.375,34.375,10100,9180
1968-04-05T14:30:00Z,34.25,34.25,34.25,34.25,11600,9295
1968-04-08T14:30:00Z,35.5,35.5,35.5,35.5,15800,9460
1968-04-10T14:30:00Z,35.5,35.5,35.5,35.5,21200,10025
