time,open,high,low,close,Volume,Volume MA
2004-02-05T14:30:00Z,23.75,24.94,23.25,24.7,27565200,NaN
2004-02-06T14:30:00Z,24.71001,24.94,24.14999,24.85001,5284398,NaN
2004-02-09T14:30:00Z,24.60001,24.7,24,24.47,3252900,NaN
2004-02-10T14:30:00Z,24.14999,24.47,24.05,24.35001,1651600,NaN
2004-02-11T14:30:00Z,24.28,24.5,24.14999,24.25,2010200,NaN
2004-02-12T14:30:00Z,24.19,25,24.17,24.67999,1637500,NaN
2004-02-13T14:30:00Z,24.78999,24.84,24.28,24.7,612000,NaN
2004-02-17T14:30:00Z,24.75,24.89999,24.5,24.60001,592500,NaN
2004-02-18T14:30:00Z,24.60001,25.39999,24.35001,25.39999,805700,NaN
2004-02-19T14:30:00Z,25.25,25.98,25.25,25.67999,1494600,NaN
2004-02-20T14:30:00Z,25.69,25.69,25,25.35001,742000,NaN
2004-02-23T14:30:00Z,25.39,25.39,24.35001,24.55,1331500,NaN
2004-02-24T14:30:00Z,24.39999,24.97,24.21001,24.8,963600,NaN
2004-02-25T14:30:00Z,24.8,25,24.7,24.85001,321700,NaN
2004-02-26T14:30:00Z,24.85001,25.27,24.60001,25.24001,617200,NaN
2004-02-27T14:30:00Z,25.14999,25.75,25.11,25.74001,1569100,NaN
2004-03-01T14:30:00Z,25.74001,26.19,25.7,25.8,851700,NaN
2004-03-02T14:30:00Z,25.95,25.95,25.10001,25.94,595600,NaN
2004-03-03T14:30:00Z,25.7,25.8,25.35001,25.48,457000,NaN
2004-03-04T14:30:00Z,25.48,25.75,24.75,25.21001,1060200,2670809.9
2004-03-05T14:30:00Z,25.02,25.64,25,25.55,450200,1315059.9
2004-03-08T14:30:00Z,25.55,25.64999,25.17,25.48,370100,1069345
2004-03-09T14:30:00Z,25.5,25.50999,24.71001,25,816200,947510
2004-03-10T14:30:00Z,24.8,24.85001,24.39999,24.64999,1034300,916645
2004-03-11T14:30:00Z,24.14999,24.64999,24.14999,24.2,2538500,943060
2004-03-12T14:30:00Z,24.34,24.64999,24.25,24.5,1501700,936270
2004-03-15T14:30:00Z,24.75,24.75,23.74001,24,1595900,985465
2004-03-16T14:30:00Z,24.5,24.55,24.17999,24.23,1539800,1032830
2004-03-17T14:30:00Z,24.2,24.5,24.06,24.07001,1051700,1045130
2004-03-18T14:30:00Z,24.07001,24.10001,23.71001,23.8,1006800,1020740
2004-03-19T14:30:00Z,23.75,23.84,23.39999,23.74001,759200,1021600
2004-03-22T14:30:00Z,23.39999,23.75,23.09,23.7,1018700,1005960
2004-03-23T14:30:00Z,23.75,24,23.50999,24,678300,991695
2004-03-24T14:30:00Z,24,24.05,23.77,23.8,510900,1001155
2004-03-25T14:30:00Z,23.64999,24.06,23.49001,23.96001,1499800,1045285
2004-03-26T14:30:00Z,23.87,24.34,23.87,24.10001,887500,1011205
2004-03-29T14:30:00Z,24.11,24.44,24.11,24.37,823900,1009815
2004-03-30T14:30:00Z,24.2,24.75,24.17999,24.72,739300,1017000
2004-03-31T14:30:00Z,24.75,25.28999,24.60001,25.14999,728500,1030575
2004-04-01T14:30:00Z,25.25,25.39999,24.78,25.25,1568800,1056005
2004-04-02T14:30:00Z,25.36,25.41,24.75,25.22,1166400,1091815
2004-04-05T13:30:00Z,25.05,25.53,24.89999,25.50999,544200,1100520
2004-04-06T13:30:00Z,25.45,26,25.25,25.94,697900,1094605
2004-04-07T13:30:00Z,25.75,25.86,25.39999,25.73,444100,1065095
2004-04-08T13:30:00Z,25.84,26.25999,25.7,26.22,657400,971040
2004-04-12T13:30:00Z,26.14999,26.25,25.71001,25.88,804000,936155
2004-04-13T13:30:00Z,25.98,26.16,25.14999,25.25,860800,899400
2004-04-14T13:30:00Z,25.25,25.45,24.97,25.19,1518700,898345
2004-04-15T13:30:00Z,25.3,25.75,25.07001,25.25,1406600,916090
2004-04-16T13:30:00Z,25.3,25.64,25.05,25.53999,272100,879355
2004-04-19T13:30:00Z,25.45,26.13,25.45,25.73,627800,872785
2004-04-20T13:30:00Z,25.7,25.8,25.39999,25.55,926200,868160
2004-04-21T13:30:00Z,25.5,25.58,25,25.2,980800,883285
2004-04-22T13:30:00Z,25.35001,25.44,25,25.2,568200,886150
2004-04-23T13:30:00Z,25.2,25.22,24.86,25.03,355900,828955
2004-04-26T13:30:00Z,24.85001,25,24.64999,24.89999,238900,796525
2004-04-27T13:30:00Z,24.85001,25.27,24.84,25.17,171900,763925
2004-04-28T13:30:00Z,25.25,25.25,24.92,25,256100,739765
2004-04-29T13:30:00Z,24.89,24.95,24.60001,24.72,298200,718250
2004-04-30T13:30:00Z,24.63,25,24.34,24.36,608100,670215
