time,open,high,low,close,Volume,Volume MA
1994-02-22T14:30:00Z,7.25,7.3125,7.25,7.25,20800,NaN
1994-02-23T14:30:00Z,7.125,7.125,6.75,6.9375,31600,NaN
1994-02-24T14:30:00Z,6.9375,6.9375,6.8125,6.8125,32000,NaN
1994-02-25T14:30:00Z,6.6875,6.6875,6.25,6.4375,49800,NaN
1994-02-28T14:30:00Z,6.5,6.75,6.4375,6.625,170400,NaN
1994-03-01T14:30:00Z,6.625,6.625,6.5,6.5625,41600,NaN
1994-03-02T14:30:00Z,6.4375,6.5625,6.4375,6.5625,67000,NaN
1994-03-03T14:30:00Z,6.625,6.625,6.5,6.5,27800,NaN
1994-03-04T14:30:00Z,6.5,6.75,6.4375,6.75,358200,NaN
1994-03-07T14:30:00Z,6.4375,6.8125,6.4375,6.75,690800,NaN
1994-03-08T14:30:00Z,6.75,6.8125,6.75,6.8125,515200,NaN
1994-03-09T14:30:00Z,6.8125,6.875,6.8125,6.875,540400,NaN
1994-03-10T14:30:00Z,6.875,6.875,6.8125,6.875,1832200,NaN
1994-03-11T14:30:00Z,6.9375,7.1875,6.9375,7.1875,1895400,NaN
1994-03-14T14:30:00Z,7.1875,7.625,7.1875,7.5625,1413800,NaN
1994-03-15T14:30:00Z,7.5625,7.6875,7.4375,7.4375,1665200,NaN
1994-03-16T14:30:00Z,7.4375,7.4375,7.3125,7.4375,717000,NaN
1994-03-17T14:30:00Z,7.4375,7.6875,7.4375,7.5625,971200,NaN
1994-03-18T14:30:00Z,7.625,7.6875,7.625,7.625,1178000,NaN
1994-03-21T14:30:00Z,7.625,7.6875,7.625,7.6875,659400,643890
1994-03-22T14:30:00Z,7.6875,7.875,7.6875,7.8125,374000,661550
1994-03-23T14:30:00Z,7.8125,7.9375,7.75,7.875,430200,681480
1994-03-24T14:30:00Z,7.8125,7.875,7.75,7.75,747000,717230
1994-03-25T14:30:00Z,7.8125,7.8125,7.625,7.6875,370000,733240
1994-03-28T14:30:00Z,7.6875,7.6875,7.625,7.625,1116200,780530
1994-03-29T14:30:00Z,7.625,7.6875,7.5,7.5,595800,808240
1994-03-30T14:30:00Z,7.5,7.5,7.3125,7.375,653000,837540
1994-03-31T14:30:00Z,7.375,7.4375,7.25,7.375,448400,858570
1994-04-04T13:30:00Z,7.125,7.375,7.125,7.375,386600,859990
1994-04-05T13:30:00Z,7.3125,7.6875,7.3125,7.625,361600,843530
1994-04-06T13:30:00Z,7.625,7.6875,7.375,7.375,551400,845340
1994-04-07T13:30:00Z,7.5,7.5,7.375,7.4375,338400,835240
1994-04-08T13:30:00Z,7.3125,7.5,7.3125,7.5,166000,751930
1994-04-11T13:30:00Z,7.5625,7.625,7.25,7.25,424800,678400
1994-04-12T13:30:00Z,7.125,7.25,7.125,7.125,602800,637850
1994-04-13T13:30:00Z,7.125,7.3125,7,7,504600,579820
1994-04-14T13:30:00Z,7.0625,7.0625,6.9375,6.9375,378200,562880
1994-04-15T13:30:00Z,6.875,7.0625,6.875,6.875,197600,524200
1994-04-18T13:30:00Z,7,7.25,7,7.25,184800,474540
1994-04-19T13:30:00Z,7.1875,7.3125,7.1875,7.25,122200,447680
1994-04-20T13:30:00Z,7.3125,7.3125,7.125,7.125,201400,439050
1994-04-21T13:30:00Z,7.125,7.3125,6.875,6.875,858200,460450
1994-04-22T13:30:00Z,7,7.25,7,7.25,411400,443670
1994-04-25T13:30:00Z,7.1875,7.625,7.1875,7.625,330600,441700
1994-04-26T13:30:00Z,7.5625,7.5625,7.25,7.375,313400,401560
1994-04-28T13:30:00Z,7.3125,7.3125,7.125,7.3125,161600,379850
1994-04-29T13:30:00Z,7.25,7.3125,7.1875,7.25,344600,364430
1994-05-02T13:30:00Z,7.1875,7.3125,7.0625,7.1875,135800,348800
1994-05-03T13:30:00Z,7.25,7.4375,7.125,7.1875,375200,348230
1994-05-04T13:30:00Z,7.125,7.375,7.125,7.3125,491800,354740
1994-05-05T13:30:00Z,7.3125,7.3125,7.1875,7.25,152800,334810
1994-05-06T13:30:00Z,7.25,7.3125,7.25,7.25,272800,331530
1994-05-09T13:30:00Z,7.25,7.3125,7.25,7.25,161600,331310
1994-05-10T13:30:00Z,7.25,7.5,7.25,7.5,308200,325480
1994-05-11T13:30:00Z,7.5,7.6875,7.5,7.5625,388600,314770
1994-05-12T13:30:00Z,7.5,7.75,7.5,7.75,155000,297290
1994-05-13T13:30:00Z,7.6875,7.75,7.375,7.375,105200,283640
1994-05-16T13:30:00Z,7.375,7.5625,7.375,7.4375,206800,284100
1994-05-17T13:30:00Z,7.5,7.5625,7.4375,7.5,422600,295990
1994-05-18T13:30:00Z,7.5,7.5,7.4375,7.5,130800,296420
1994-05-19T13:30:00Z,7.4375,7.625,7.375,7.5625,199400,296320
1994-05-20T13:30:00Z,7.5,7.5625,7.375,7.375,119600,259390
1994-05-23T13:30:00Z,7.3125,7.375,7.25,7.25,195600,248600
