time,open,high,low,close,Volume,Volume MA
2001-01-26T14:30:00Z,14.75,18.25,13.6875,17.3125,10121898,NaN
2001-01-29T14:30:00Z,18.625,19.4375,16,18.0625,1875000,NaN
2001-01-30T14:30:00Z,18.125,18.1875,16.25,16.875,812300,NaN
2001-01-31T14:30:00Z,17.125,17.1875,13.4375,13.5,1212700,NaN
2001-02-01T14:30:00Z,13.125,14.375,13,14.1875,669100,NaN
2001-02-02T14:30:00Z,14,14.5625,13.75,14.125,775000,NaN
2001-02-05T14:30:00Z,14.4375,14.5,13.875,14.125,682500,NaN
2001-02-06T14:30:00Z,14.01562,14.0625,13.875,14,737900,NaN
2001-02-07T14:30:00Z,14,14.0625,13,13.0625,1361000,NaN
2001-02-08T14:30:00Z,13.125,13.1875,13,13.0625,712000,NaN
2001-02-09T14:30:00Z,13.04687,13.0625,11.875,12,1100800,NaN
2001-02-12T14:30:00Z,12.04687,12.125,10.9375,11.0625,552000,NaN
2001-02-13T14:30:00Z,11,11.5625,11,11.4375,304300,NaN
2001-02-14T14:30:00Z,11.42187,11.75,11,11.625,136900,NaN
2001-02-15T14:30:00Z,12.0625,13,12.04687,12.8125,1568600,NaN
2001-02-16T14:30:00Z,12.84375,13.0625,12.5,13.0625,161500,NaN
2001-02-20T14:30:00Z,13.625,13.6875,12.625,12.75,411300,NaN
2001-02-21T14:30:00Z,12.59375,13.125,12.25,12.3125,219000,NaN
2001-02-22T14:30:00Z,12,12.5,11.5,12.10937,712500,NaN
2001-02-23T14:30:00Z,12.125,12.25,10.625,11.0625,217800,1217204.9
2001-02-26T14:30:00Z,10.65625,11.375,8.75,9,839200,753070
2001-02-27T14:30:00Z,9.40625,9.5,7.125,7.5625,865200,702580
2001-02-28T14:30:00Z,8.09375,8.125,7.375,7.5,503600,687145
2001-03-01T14:30:00Z,7.48437,7.625,7.3125,7.5625,464200,649720
2001-03-02T14:30:00Z,7.5625,7.625,7.3125,7.5,277800,630155
2001-03-05T14:30:00Z,7.59375,7.625,6.125,6.6875,697900,626300
2001-03-06T14:30:00Z,6.51562,7.625,6.5,7.5,1922300,688290
2001-03-07T14:30:00Z,7.96875,8,7.4375,7.8125,321800,667485
2001-03-08T14:30:00Z,7.8125,8.5,7.625,8.46875,242900,611580
2001-03-09T14:30:00Z,8.5625,8.625,8,8.125,165700,584265
2001-03-12T14:30:00Z,8.375,8.625,7.9375,8.5,276100,543030
2001-03-13T14:30:00Z,8.5,9.9375,8.4375,9.5,128100,521835
2001-03-14T14:30:00Z,9.75,10.48437,9.125,10.25,215200,517380
2001-03-15T14:30:00Z,10.4375,10.5,9.4375,9.4375,224600,521765
2001-03-16T14:30:00Z,9.4375,9.75,8,8.25,580300,472350
2001-03-19T14:30:00Z,8.5,9.46875,8.25,8.875,161300,472340
2001-03-20T14:30:00Z,8.6875,8.9375,8.1875,8.1875,138100,458680
2001-03-21T14:30:00Z,8.48437,8.5,8,8.1875,139400,454700
2001-03-22T14:30:00Z,8.04687,8.0625,7.625,7.75,129200,425535
2001-03-23T14:30:00Z,7.96875,8,7.75,7.8125,58900,417590
2001-03-26T14:30:00Z,8,8.25,7.25,7.5,104300,380845
2001-03-27T14:30:00Z,7.25,7.5625,7.25,7.40625,35700,339370
2001-03-28T14:30:00Z,7.53125,8.09375,7.25,7.5625,187200,323550
2001-03-29T14:30:00Z,7.625,7.875,6.8125,7.25,246400,312660
2001-03-30T14:30:00Z,7.46875,7.625,7.1875,7.25,527400,325140
2001-04-02T13:30:00Z,7.29687,7.8125,7.1875,7.25,513800,315935
2001-04-03T13:30:00Z,7.25,7.25,6.25,6.6875,129700,226305
2001-04-04T13:30:00Z,6.51562,6.78125,6.5,6.5625,55600,212995
2001-04-05T13:30:00Z,6.71875,6.875,6.5,6.5625,75800,204640
2001-04-06T13:30:00Z,6.73437,7.21875,6.5,6.625,44800,198595
2001-04-09T13:30:00Z,6.81,6.99,6.5,6.55,49100,187245
2001-04-10T13:30:00Z,6.75,7.27,6.75,7.15,115800,186630
2001-04-11T13:30:00Z,7.275,7.75,6.52,6.6,95300,180635
2001-04-12T13:30:00Z,6.66,6.98,5.75,6,144200,176615
2001-04-16T13:30:00Z,6.75,6.75,5.35,5.45,93400,152270
2001-04-17T13:30:00Z,5.5,5.89,5.5,5.8,32900,145850
