time,open,high,low,close,Volume,Volume MA
2019-06-11T13:30:00Z,11.11,11.35,11.06,11.18,268169400,NaN
2019-06-12T13:30:00Z,11.21,11.35,11.11,11.25,16955751,NaN
2019-06-13T13:30:00Z,11.19,11.19,10.79,11.02,15375399,NaN
2019-06-14T13:30:00Z,11,11.04,10.85,10.93,12995016,NaN
2019-06-17T13:30:00Z,10.77,10.83,10.605,10.65,11991150,NaN
2019-06-18T13:30:00Z,10.73,10.8,10.655,10.8,6940340,NaN
2019-06-19T13:30:00Z,10.75,10.77,10.46,10.59,7823884,NaN
2019-06-20T13:30:00Z,10.72,10.945,10.71,10.87,7407696,NaN
2019-06-21T13:30:00Z,10.93,11.06,10.845,11.02,15210912,NaN
2019-06-24T13:30:00Z,11.05,11.19,10.79,11.14,23175767,NaN
2019-06-25T13:30:00Z,11.22,11.5,11.15,11.46,12368227,NaN
2019-06-26T13:30:00Z,11.4,11.54,11.33,11.51,9356126,NaN
2019-06-27T13:30:00Z,11.57,11.6,11.47,11.49,5419324,NaN
2019-06-28T13:30:00Z,11.41,11.5,11.37,11.49,7604545,NaN
2019-07-01T13:30:00Z,11.38,11.43,11.3,11.43,7831894,NaN
2019-07-02T13:30:00Z,11.47,11.6,11.45,11.58,6608736,NaN
2019-07-03T13:30:00Z,11.76,11.77,11.65,11.68,3013458,NaN
2019-07-05T13:30:00Z,11.58,11.65,11.55,11.61,3565063,NaN
2019-07-08T13:30:00Z,11.48,11.51,11.35,11.44,3031014,NaN
2019-07-09T13:30:00Z,11.28,11.28,10.94,11.02,6699071,22577138.65
2019-07-10T13:30:00Z,11.03,11.11,10.94,10.96,3642419,9350789.6
2019-07-11T13:30:00Z,10.94,11.08,10.87,11.08,4404543,8723229.2
2019-07-12T13:30:00Z,11.1,11.16,10.99,11.15,5162567,8212587.6
2019-07-15T13:30:00Z,11,11.08,10.9,11.08,3025163,7714094.95
2019-07-16T13:30:00Z,11.09,11.09,10.82,10.9,5764858,7402780.35
2019-07-17T13:30:00Z,10.93,11.23,10.89,11.18,8203866,7465956.65
2019-07-18T13:30:00Z,11.17,11.37,10.88,11.28,8345719,7492048.4
2019-07-19T13:30:00Z,11.33,11.41,11.24,11.27,3358112,7289569.2
2019-07-22T13:30:00Z,11.07,11.07,10.66,10.74,8515464,6954796.8
2019-07-23T13:30:00Z,10.8,10.88,10.76,10.86,2969530,5944484.95
2019-07-24T13:30:00Z,10.84,10.9,10.67,10.79,3836784,5517912.8
2019-07-25T13:30:00Z,10.76,11.1,10.76,10.98,5477810,5323997
2019-07-26T13:30:00Z,10.93,11.13,10.83,10.96,3171773,5211619.45
2019-07-29T13:30:00Z,10.96,10.96,10.77,10.87,1736629,4918223.65
2019-07-30T13:30:00Z,10.79,10.815,10.52,10.61,3826461,4717952
2019-07-31T13:30:00Z,10.65,10.95,10.575,10.6,6685894,4721809.9
2019-08-01T13:30:00Z,10.61,10.74,10.48,10.51,3703248,4756299.4
2019-08-02T13:30:00Z,10.58,10.72,10.52,10.54,3722701,4764181.3
2019-08-05T13:30:00Z,10.52,10.605,10.28,10.3,5603145,4892787.85
2019-08-06T13:30:00Z,10.3,10.35,10.11,10.24,4701463,4792907.45
