time,open,high,low,close,Volume,Volume MA
2005-09-15T13:30:00Z,38.02,38.10001,37,37.00999,1529800,NaN
2005-09-16T13:30:00Z,37,37,36.60001,36.60001,62400,NaN
2005-09-19T13:30:00Z,36.60001,36.7,36.45,36.7,1162300,NaN
2005-09-20T13:30:00Z,36.60001,37,36.60001,36.7,654900,NaN
2005-09-21T13:30:00Z,36.60001,36.60001,36,36.39999,424300,NaN
2005-09-22T13:30:00Z,36.39999,37.2,36.39999,37.2,864800,NaN
2005-09-23T13:30:00Z,37.2,38.10001,37.2,37.67999,1249900,NaN
2005-09-26T13:30:00Z,37.75,38.14999,37.75,37.75,821400,NaN
2005-09-27T13:30:00Z,37.75,37.89999,37.14,37.25,1514000,NaN
2005-09-28T13:30:00Z,37.24001,37.39999,36.8,37,875700,NaN
2005-09-29T13:30:00Z,36.91,36.91,36.25,36.60001,2659200,NaN
2005-09-30T13:30:00Z,36.60001,36.60001,35.60001,35.8,4014800,NaN
2005-10-03T13:30:00Z,35.3,35.89999,34.17,34.7,10007602,NaN
2005-10-04T13:30:00Z,34,34.3,33.25,33.89999,8040301,NaN
2005-10-05T13:30:00Z,34,34.10001,33.32001,33.64999,6304398,NaN
2005-10-06T13:30:00Z,33.39999,33.64999,33.21001,33.37,7552199,NaN
2005-10-07T13:30:00Z,33.28,33.60001,33.13,33.60001,7055199,NaN
2005-10-10T13:30:00Z,33.60001,33.60001,33,33.03,3400800,NaN
2005-10-11T13:30:00Z,33.03999,33.39,32.98,33,3675400,NaN
2005-10-12T13:30:00Z,32.89999,33.3,32.72,32.77,4134602,3300200.05
2005-10-13T13:30:00Z,32.53,32.7,32.48,32.55,3184100,3382915.05
2005-10-14T13:30:00Z,32.52,32.75,32.38,32.39,2487500,3504170.05
2005-10-17T13:30:00Z,32.34,32.77,32,32.48,1910400,3541575.05
2005-10-18T13:30:00Z,32.3,32.55,32.14999,32.42999,1737900,3595725.05
2005-10-19T13:30:00Z,32.28,33.16,32.21001,33.16,1784400,3663730.05
2005-10-20T13:30:00Z,33.16,34.06,33.10001,33.58,2789600,3759970.05
2005-10-21T13:30:00Z,33.78,34.50101,33.63,34,2881800,3841565.05
2005-10-24T13:30:00Z,35.25,36.48,34.92999,36.28999,4033400,4002165.05
2005-10-25T13:30:00Z,35.34,37.47,35.28,37.17999,2915400,4072235.05
2005-10-26T13:30:00Z,36.85001,37.72,36.7,37,2208000,4138850.05
2005-10-27T13:30:00Z,36.95,37,35.8,36.28,2033000,4107540.05
2005-10-28T13:30:00Z,36.5,37.2,36.21001,37.10001,1430200,3978310.05
2005-10-31T14:30:00Z,37.21001,37.60001,36.96001,37.22,1219600,3538909.95
2005-11-01T14:30:00Z,36.89999,36.96001,36.46001,36.56,1575200,3215654.9
2005-11-02T14:30:00Z,36.22,36.89999,36.17999,36.8,1502100,2975540
2005-11-03T14:30:00Z,36.72,37.62,36.72,37.42,1887900,2692325.05
2005-11-04T14:30:00Z,37.33,37.42,37.02,37.17,1731900,2426160.1
2005-11-07T14:30:00Z,37.10001,37.17,36.82449,37.02,1658700,2339055.1
2005-11-08T14:30:00Z,36.64999,37.2,36.64999,36.96001,2119200,2261245.1
2005-11-09T14:30:00Z,36.96001,38.17999,36.89999,37.88,2203900,2164710
2005-11-10T14:30:00Z,37.75,39.3,37.74989,38.92,2513200,2131165
2005-11-11T14:30:00Z,38.5,38.96001,38.47,38.91,1229800,2068280
2005-11-14T14:30:00Z,38.8,39.39999,38.50999,39.34,1160000,2030760
2005-11-15T14:30:00Z,39,39.39999,38.47,39.21001,1793000,2033515
2005-11-16T14:30:00Z,39.35001,40,39.09,39.83,2568800,2072735
2005-11-17T14:30:00Z,40.10001,41.17999,39.78,40,2628100,2064660
2005-11-18T14:30:00Z,40.45,40.87,39.64,39.92,1556000,1998370
2005-11-21T14:30:00Z,40.17,42,40.17,41.58,2906900,1942045
2005-11-22T14:30:00Z,41.39999,42.39,41.28999,42.14999,2368700,1914710
2005-11-23T14:30:00Z,42.2,43.75999,42.2,43.47,2149100,1911765
2005-11-25T14:30:00Z,44.10001,44.25,42.95,43.45,468300,1833530
2005-11-28T14:30:00Z,43.39999,44.2,43.10001,43.89999,2377400,1880890
2005-11-29T14:30:00Z,43.75,43.99001,41.7301,42.55,2962200,1968020
2005-11-30T14:30:00Z,42.89999,43.25,41.3,42.05,2761100,2027315
2005-12-01T14:30:00Z,41.95,43.88,41.89,43.31,1833000,2043860
2005-12-02T14:30:00Z,43.25,43.74001,42.60001,43.23,1057900,2002360
2005-12-05T14:30:00Z,43.22,43.7,42.91,43.52,1042900,1967910
2005-12-06T14:30:00Z,43.7,43.84,43.48,43.61,1154900,1942720
2005-12-07T14:30:00Z,43.59,44.78,43.22,43.36,2063900,1939955
2005-12-08T14:30:00Z,43.64999,44.05,43.31,43.64999,1227800,1891150
2005-12-09T14:30:00Z,43.64,44.02,43.36,43.75999,515400,1791260
2005-12-12T14:30:00Z,43.75,43.75999,42.88,43.13,1504900,1805015
2005-12-13T14:30:00Z,42.89999,43.37,42.50999,42.83,1321300,1813080
2005-12-14T14:30:00Z,42.83,43.03,41.52,41.53,1701600,1808510
2005-12-15T14:30:00Z,41.42999,41.89999,41.09,41.19,1220600,1741100
2005-12-16T14:30:00Z,41.44,42.41,41.41,42.25999,1305600,1674975
2005-12-19T14:30:00Z,42.31,42.63,41.12,41.31,676200,1630985
2005-12-20T14:30:00Z,41.25,42.39999,41,41.57001,1121000,1541690
2005-12-21T14:30:00Z,41.57001,42.60001,40.97,41.55,1313300,1488920
2005-12-22T14:30:00Z,41.57001,42.39,41.2,41.92999,808300,1421880
2005-12-23T14:30:00Z,39.42,42.56,39.42,41.92999,576000,1427265
2005-12-27T14:30:00Z,41.89999,42.08,40.8,40.89999,941900,1355490
