time,open,high,low,close,Volume,Volume MA
2014-06-06T13:30:00Z,55.25,60,55,55,7255086,NaN
2014-06-09T13:30:00Z,56.25,57,55,55.2,716836,NaN
2014-06-10T13:30:00Z,55.25,60,55.25,60,986711,NaN
2014-06-11T13:30:00Z,60,63.5,58.6603,63.5,661552,NaN
2014-06-12T13:30:00Z,63.65,67.83,63.07,66,738054,NaN
2014-06-13T13:30:00Z,68.47,72,67,69.58,1066322,NaN
2014-06-16T13:30:00Z,71.22,71.5,67.6349,71.5,417114,NaN
2014-06-17T13:30:00Z,71.89,72.6299,69,69.71,279717,NaN
2014-06-18T13:30:00Z,70.07,71,67.88,68.96,208772,NaN
2014-06-19T13:30:00Z,68.03,68.81,64.51,65.67,653020,NaN
2014-06-20T13:30:00Z,65.05,68.5,64.5,65.15,294227,NaN
2014-06-23T13:30:00Z,65.02,67.49,65.02,65.71,116518,NaN
2014-06-24T13:30:00Z,66.35,66.75,63.87,64.28,192779,NaN
2014-06-25T13:30:00Z,63.81,65.358,62,64.49,186174,NaN
2014-06-26T13:30:00Z,64.81,64.81,62.5,63.81,97114,NaN
2014-06-27T13:30:00Z,63.91,63.91,62.25,62.55,244740,NaN
2014-06-30T13:30:00Z,62.07,65.2,62.07,62.39,231968,NaN
2014-07-01T13:30:00Z,66.97,76.8299,66.1,76,1660225,NaN
2014-07-02T13:30:00Z,78.74,80.53,73.2,75.35,1126534,NaN
2014-07-03T13:30:00Z,76.44,77.627,74.1,76.41,243884,868867.35
2014-07-07T13:30:00Z,75.16,77.29,72.03,72.17,316698,521947.95
2014-07-08T13:30:00Z,71.93,72.05,63.14,69.43,1178699,545041.1
2014-07-09T13:30:00Z,69.3,72.9,66.01,71.9,372430,514327.05
2014-07-10T13:30:00Z,67.52,70.14,67.1237,67.74,296845,496091.7
2014-07-11T13:30:00Z,68.8,70.5,68.35,69.63,191731,468775.55
2014-07-14T13:30:00Z,71.4,72,68.53,68.95,130962,422007.55
2014-07-15T13:30:00Z,69.45,70.5597,66,66.69,226093,412456.5
2014-07-16T13:30:00Z,67.07,68,63.61,64.53,247680,410854.65
2014-07-17T13:30:00Z,63.89,65.62,63.11,63.76,130221,406927.1
2014-07-18T13:30:00Z,64.03,64.9,63.3503,64,123759,380464.05
2014-07-21T13:30:00Z,64.13,64.73,63.01,63.23,143702,372937.8
2014-07-22T13:30:00Z,63.76,66.96,63.46,65.51,235886,378906.2
2014-07-23T13:30:00Z,65.89,66.68,64.4,64.82,147916,376663.05
2014-07-24T13:30:00Z,65.11,66.16,63.77,64.25,182645,376486.6
2014-07-25T13:30:00Z,64.15,64.78,62.51,63.64,115564,377409.1
2014-07-28T13:30:00Z,64.52,64.544,63.03,63.41,71596,368751.9
2014-07-29T13:30:00Z,63.59,64.05,63.1501,63.85,106388,362472.9
2014-07-30T13:30:00Z,64.48,67.9,63.97,67.79,608090,309866.15
2014-07-31T13:30:00Z,66.34,67,65.11,66.12,257714,266425.15
2014-08-01T13:30:00Z,65.82,67.5,65.25,65.61,193677,263914.8
2014-08-04T13:30:00Z,65.99,69.5,65.68,69.23,255589,260859.35
2014-08-05T13:30:00Z,68.83,73,68.02,72.09,402441,222046.45
2014-08-06T13:30:00Z,71.38,72.5,69.5301,70.82,225634,214706.65
2014-08-07T13:30:00Z,71.77,72.66,71.184,72.22,417265,220727.65
2014-08-08T13:30:00Z,79.25,79.88,71.5,72.03,1427136,282497.9
2014-08-11T13:30:00Z,72.69,73.4,67.31,69.86,740522,312975.9
2014-08-12T13:30:00Z,69.48,71.686,69.48,71.11,222981,312820.3
2014-08-13T13:30:00Z,71.14,71.97,69.338,69.84,273500,314111.3
2014-08-14T13:30:00Z,69.73,71.7,68.8,70.81,266629,320931.7
2014-08-15T13:30:00Z,71.42,71.42,69.38,69.82,141576,321822.55
2014-08-18T13:30:00Z,70.85,71.37,69.25,70.51,175885,323431.7
2014-08-19T13:30:00Z,70.74,75.18,70.165,75,478128,335543.8
2014-08-20T13:30:00Z,74.33,77.269,72.9007,76.4,396096,347952.8
2014-08-21T13:30:00Z,75.88,78.39,75.33,77.35,435273,360584.2
2014-08-22T13:30:00Z,76.49,76.96,75.25,75.62,177624,363687.2
2014-08-25T13:30:00Z,76.05,77.44,74.81,75.58,177397,368977.25
2014-08-26T13:30:00Z,75.44,76.77,74.6651,76.17,162712,371793.45
2014-08-27T13:30:00Z,75.99,83.47,75.97,83.16,724203,377599.1
2014-08-28T13:30:00Z,82.96,83.89,81.57,83.45,343329,381879.85
2014-08-29T13:30:00Z,84.89,85.789,82.74,83.85,330521,388722.05
2014-09-02T13:30:00Z,85.14,86.68,84.23,86.1,329686,392426.9
2014-09-03T13:30:00Z,87.16,87.56,84.91,85.61,335355,389072.6
2014-09-04T13:30:00Z,85.41,89.3,85.19,87.49,322704,393926.1
2014-09-05T13:30:00Z,87.42,91.33,86.13,91.12,235019,384813.8
2014-09-08T13:30:00Z,91.15,93.94,85.69,87.66,740430,350478.5
2014-09-09T13:30:00Z,88,88.882,83.78,84.28,339918,330448.3
2014-09-10T13:30:00Z,84.99,88.84,83.14,88.75,330775,335838
2014-09-11T13:30:00Z,88.1,90.89,87.64,88.75,180064,331166.2
2014-09-12T13:30:00Z,88.89,89.41,85,86.27,195092,327589.35
2014-09-15T13:30:00Z,87.32,88.25,82.54,82.83,410015,341011.3
2014-09-16T13:30:00Z,82.27,85.34,80.8001,84,268456,345639.85
2014-09-17T13:30:00Z,84.79,85.94,83.22,83.51,200803,331773.6
2014-09-18T13:30:00Z,84.5,86.44,84.0301,86.13,235527,323745.15
2014-09-19T13:30:00Z,86.94,87.65,84.9,87.65,522235,328093.25
2014-09-22T13:30:00Z,86.89,88.65,83.56,83.84,454492,341936.65
2014-09-23T13:30:00Z,83.44,86.31,83.06,84.47,294807,347807.15
2014-09-24T13:30:00Z,83.2,87.9,83.2,87.11,280406,353691.85
2014-09-25T13:30:00Z,86.71,88.44,83.82,84.3,329457,333954.55
2014-09-26T13:30:00Z,84.35,85.915,84.34,85.13,289594,331267.8
2014-09-29T13:30:00Z,84.46,93.75,84,93.31,762822,352882.85
2014-09-30T13:30:00Z,93.56,94.84,86.61,88.33,1101346,391465.85
2014-10-01T13:30:00Z,88.04,88.5299,83.1201,84.06,602750,404835.6
2014-10-02T13:30:00Z,84.45,85.0499,79.62,84.23,479354,412668.1
2014-10-03T13:30:00Z,85.78,87.11,83.47,85.73,344747,418154.5
