time,open,high,low,close,Volume,Volume MA
2009-08-06T13:30:00Z,16.5,16.91,15.56,16.17999,24198416,NaN
2009-08-07T13:30:00Z,16.14999,16.75999,16.03,16.42999,2454272,NaN
2009-08-10T13:30:00Z,16.63,16.63,15.61,15.97,2420915,NaN
2009-08-11T13:30:00Z,15.98,16,15.5,15.67,2305371,NaN
2009-08-12T13:30:00Z,16.14999,16.2,15.66,16,1451293,NaN
2009-08-13T13:30:00Z,16,16.72,16,16.55,1150559,NaN
2009-08-14T13:30:00Z,16.5,17,16.25,16.60001,637782,NaN
2009-08-17T13:30:00Z,16.27,16.37,16.2,16.22,254388,NaN
2009-08-18T13:30:00Z,16.48,17.2,16.35001,17.07001,1446616,NaN
2009-08-19T13:30:00Z,16.84,17.94,16.8,17.89,2070763,NaN
2009-08-20T13:30:00Z,17.95,17.95,17.28999,17.75999,1882077,NaN
2009-08-21T13:30:00Z,17.78999,17.97,17.58,17.82001,863511,NaN
2009-08-24T13:30:00Z,17.52,17.85001,17.3,17.5,1021584,NaN
2009-08-25T13:30:00Z,17.64999,17.89999,17.55,17.85001,530724,NaN
2009-08-26T13:30:00Z,17.69,17.85001,17.14999,17.85001,708574,NaN
2009-08-27T13:30:00Z,17.85001,18.21001,17.55,18.16,1161100,NaN
2009-08-28T13:30:00Z,18.10001,19,18,18.47,1294949,NaN
2009-08-31T13:30:00Z,18.35001,18.39999,17.81,18.2,1004719,NaN
2009-09-01T13:30:00Z,18.25,18.44,16.94,17.85001,1383480,NaN
2009-09-02T13:30:00Z,17.75999,18.25,17.48,17.67999,1293388,2476724.05
2009-09-03T13:30:00Z,17.97,17.97,17,17.45,3657607,1449683.6
2009-09-04T13:30:00Z,17.75,17.9989,17.49001,17.75999,1158584,1384899.2
2009-09-08T13:30:00Z,17.75999,17.92999,17.45,17.7,574890,1292597.95
2009-09-09T13:30:00Z,17.85001,17.85001,17.22,17.25999,551181,1204888.45
2009-09-10T13:30:00Z,17.00999,17.46001,16.95,17.05,415199,1153083.75
2009-09-11T13:30:00Z,17,17.33,16.53999,16.88,620281,1126569.85
2009-09-14T13:30:00Z,16.64,16.8999,16.31,16.64999,1614491,1175405.3
2009-09-15T13:30:00Z,17.25,17.35001,16.63,17.17999,1987187,1262045.25
2009-09-16T13:30:00Z,17.39999,17.75,17.11,17.58,2022369,1290832.9
2009-09-17T13:30:00Z,17.66,17.89999,16.53,16.64,1446351,1259612.3
2009-09-18T13:30:00Z,16.57001,17.02,16.17999,16.2,899815,1210499.2
2009-09-21T13:30:00Z,16.28,16.63,15.87,16.61,552956,1194971.45
2009-09-22T13:30:00Z,16.96001,17.37,16.82001,17.25,1114012,1199592.85
