time,open,high,low,close,Volume,Volume MA
1995-08-25T13:30:00Z,6.725,6.825,6.725,6.8,3541000,NaN
1995-08-28T13:30:00Z,6.775,6.775,6.65,6.7,1418500,NaN
1995-08-29T13:30:00Z,6.75,6.775,6.625,6.7,879000,NaN
1995-08-30T13:30:00Z,6.7,6.725,6.675,6.725,436500,NaN
1995-08-31T13:30:00Z,6.725,6.725,6.65,6.7,606500,NaN
1995-09-01T13:30:00Z,6.7,6.725,6.675,6.725,217000,NaN
1995-09-05T13:30:00Z,6.7,6.725,6.675,6.7,385500,NaN
1995-09-06T13:30:00Z,6.675,6.7,6.65,6.675,247000,NaN
1995-09-07T13:30:00Z,6.675,6.675,6.6,6.625,738000,NaN
1995-09-08T13:30:00Z,6.575,6.6,6.275,6.275,946000,NaN
1995-09-11T13:30:00Z,6.3,6.525,6.3,6.425,434000,NaN
1995-09-12T13:30:00Z,6.55,6.675,6.55,6.65,817500,NaN
1995-09-13T13:30:00Z,6.75,6.775,6.65,6.675,542500,NaN
1995-09-14T13:30:00Z,6.675,6.7,6.65,6.7,154500,NaN
1995-09-15T13:30:00Z,6.675,6.7,6.675,6.7,218500,NaN
1995-09-18T13:30:00Z,6.675,6.725,6.65,6.725,422500,NaN
1995-09-19T13:30:00Z,6.7,6.7,6.65,6.675,116500,NaN
1995-09-20T13:30:00Z,6.65,6.65,6.525,6.55,124500,NaN
1995-09-21T13:30:00Z,6.6,6.625,6.55,6.6,157000,NaN
1995-09-22T13:30:00Z,6.55,6.55,6.45,6.45,94500,624850
1995-09-25T13:30:00Z,6.5,6.5,6.425,6.425,53000,450450
1995-09-26T13:30:00Z,6.55,6.6,6.525,6.525,266500,392850
1995-09-27T13:30:00Z,6.5,6.525,6.5,6.5,95000,353650
1995-09-28T13:30:00Z,6.55,6.625,6.55,6.6,205000,342075
1995-09-29T13:30:00Z,6.8,6.925,6.8,6.9,1303000,376900
1995-10-02T13:30:00Z,7,7.125,7,7.025,570000,394550
1995-10-03T13:30:00Z,7.05,7.075,7,7.05,165000,383525
1995-10-04T13:30:00Z,7.025,7.025,6.975,6.975,108500,376600
1995-10-05T13:30:00Z,7,7.025,6.975,7.025,70500,343225
1995-10-06T13:30:00Z,7.025,7.025,6.95,6.975,277000,309775
1995-10-09T13:30:00Z,6.95,7,6.925,6.925,77000,291925
1995-10-10T13:30:00Z,6.925,6.925,6.8,6.825,80000,255050
1995-10-11T13:30:00Z,6.825,6.9,6.825,6.825,80500,231950
1995-10-12T13:30:00Z,6.875,7.05,6.875,7.025,170000,232725
1995-10-13T13:30:00Z,7.15,7.275,7.15,7.25,201000,231850
1995-10-16T13:30:00Z,7.3,7.425,7.3,7.375,130000,217225
1995-10-17T13:30:00Z,7.35,7.35,7.275,7.275,154500,219125
1995-10-18T13:30:00Z,7.275,7.475,7.275,7.375,169000,221350
1995-10-19T13:30:00Z,7.425,7.525,7.425,7.525,130500,220025
1995-10-20T13:30:00Z,7.575,7.7,7.575,7.65,212500,225925
1995-10-23T13:30:00Z,7.675,7.675,7.65,7.675,66000,226575
1995-10-24T13:30:00Z,7.625,7.625,7.55,7.55,71500,216825
1995-10-25T13:30:00Z,7.55,7.55,7.525,7.525,284500,226300
1995-10-26T13:30:00Z,7.525,7.55,7.425,7.45,96000,220850
1995-10-27T13:30:00Z,7.425,7.45,7.4,7.45,25000,156950
1995-10-30T14:30:00Z,7.425,7.475,7.425,7.425,18500,129375
1995-10-31T14:30:00Z,7.55,7.65,7.55,7.65,208000,131525
1995-11-01T14:30:00Z,7.625,7.625,7.475,7.5,107000,131450
1995-11-02T14:30:00Z,7.525,7.65,7.525,7.6,291000,142475
1995-11-03T14:30:00Z,7.9,7.925,7.9,7.925,252500,141250
1995-11-06T14:30:00Z,7.925,8,7.85,8,235000,149150
1995-11-07T14:30:00Z,8,8,7.925,7.925,192000,154750
1995-11-08T14:30:00Z,7.925,7.95,7.9,7.95,14500,151450
1995-11-09T14:30:00Z,7.925,8.05,7.925,8.025,41500,145025
1995-11-10T14:30:00Z,8,8,7.95,7.95,11000,135525
1995-11-13T14:30:00Z,7.925,7.925,7.875,7.925,29000,130475
1995-11-14T14:30:00Z,7.9,7.9,7.8,7.8,35500,124525
1995-11-15T14:30:00Z,7.8,7.875,7.8,7.875,11500,116650
1995-11-16T14:30:00Z,7.875,8,7.875,8,31000,111675
